"divergence_threshold" "lambda" "omega" "sigma_bs" "sigma_t" "dispersal" "seed" "start_time" "model" "initial_abundance" "grid_cell_distance" "max_species" "ancestor_number" "inflexion" "decay" "aridity_cost" "K" "psi"
10 3.379 0.032 0.006 0.007 3.199 666 390 "m3_Scotese_Behr220_74" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.888 0.02 0.015 0.014 1.942 666 390 "m3_Scotese_Behr220_75" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.002 0.023 0.008 0.005 1.628 666 390 "m3_Scotese_Behr220_76" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.511 0.01 0.018 0.012 2.885 666 390 "m3_Scotese_Behr220_77" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.248 0.016 0.003 0.008 2.256 666 390 "m3_Scotese_Behr220_78" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.756 0.029 0.013 0.001 3.514 666 390 "m3_Scotese_Behr220_79" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.342 0.027 0.013 0.008 2.806 666 390 "m3_Scotese_Behr220_80" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.851 0.014 0.004 0.015 1.549 666 390 "m3_Scotese_Behr220_81" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.096 0.02 0.018 0.011 3.435 666 390 "m3_Scotese_Behr220_82" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.605 0.033 0.009 0.004 2.178 666 390 "m3_Scotese_Behr220_83" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.473 0.011 0.011 0.01 2.492 666 390 "m3_Scotese_Behr220_84" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.982 0.023 0.001 0.003 3.75 666 390 "m3_Scotese_Behr220_85" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.719 0.03 0.016 0.006 1.863 666 390 "m3_Scotese_Behr220_86" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.228 0.017 0.006 0.013 3.121 666 390 "m3_Scotese_Behr220_87" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.908 0.034 0.003 0.014 3.278 666 390 "m3_Scotese_Behr220_88" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.417 0.022 0.012 0.007 2.021 666 390 "m3_Scotese_Behr220_89" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.153 0.016 0.007 0.003 3.907 666 390 "m3_Scotese_Behr220_90" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.662 0.028 0.017 0.011 2.649 666 390 "m3_Scotese_Behr220_91" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.53 0.019 0.005 0.002 2.335 666 390 "m3_Scotese_Behr220_92" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.039 0.031 0.015 0.009 3.592 666 390 "m3_Scotese_Behr220_93" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.285 0.025 0.01 0.012 1.706 666 390 "m3_Scotese_Behr220_94" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.794 0.013 0.019 0.005 2.964 666 390 "m3_Scotese_Behr220_95" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.389 0.033 0.008 0.008 2.689 666 390 "m3_Scotese_Behr220_96" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.898 0.021 0.017 0.001 3.946 666 390 "m3_Scotese_Behr220_97" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.143 0.014 0.003 0.005 2.06 666 390 "m3_Scotese_Behr220_98" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.652 0.027 0.012 0.012 3.317 666 390 "m3_Scotese_Behr220_99" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.766 0.018 0.01 0.006 3.003 666 390 "m3_Scotese_Behr220_100" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.275 0.03 0.02 0.013 1.746 666 390 "m3_Scotese_Behr220_101" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.012 0.024 0.005 0.01 3.632 666 390 "m3_Scotese_Behr220_102" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.521 0.011 0.015 0.003 2.374 666 390 "m3_Scotese_Behr220_103" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.332 0.029 0.018 0.002 2.217 666 390 "m3_Scotese_Behr220_104" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.841 0.016 0.009 0.009 3.474 666 390 "m3_Scotese_Behr220_105" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.578 0.022 0.014 0.013 1.588 666 390 "m3_Scotese_Behr220_106" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.086 0.035 0.004 0.005 2.846 666 390 "m3_Scotese_Behr220_107" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.2 0.013 0.016 0.014 3.16 666 390 "m3_Scotese_Behr220_108" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.709 0.025 0.006 0.007 1.903 666 390 "m3_Scotese_Behr220_109" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.955 0.032 0.011 0.004 3.789 666 390 "m3_Scotese_Behr220_110" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.464 0.019 0.002 0.011 2.531 666 390 "m3_Scotese_Behr220_111" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.049 0.015 0.005 0.012 1.824 666 390 "m3_Scotese_Behr220_112" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.558 0.028 0.014 0.005 3.082 666 390 "m3_Scotese_Behr220_113" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.295 0.034 0.009 0.002 2.453 666 390 "m3_Scotese_Behr220_114" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.804 0.022 0.019 0.009 3.71 666 390 "m3_Scotese_Behr220_115" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.672 0.025 0.002 0.003 3.396 666 390 "m3_Scotese_Behr220_116" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.181 0.012 0.012 0.01 2.139 666 390 "m3_Scotese_Behr220_117" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.426 0.018 0.007 0.014 2.767 666 390 "m3_Scotese_Behr220_118" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.935 0.031 0.017 0.007 1.51 666 390 "m3_Scotese_Behr220_119" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.106 0.02 0.011 0.006 1.667 666 390 "m3_Scotese_Behr220_120" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.615 0.032 0.001 0.013 2.924 666 390 "m3_Scotese_Behr220_121" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.861 0.026 0.015 0.009 2.296 666 390 "m3_Scotese_Behr220_122" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.369 0.014 0.006 0.002 3.553 666 390 "m3_Scotese_Behr220_123" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.238 0.029 0.013 0.011 3.867 666 390 "m3_Scotese_Behr220_124" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.747 0.017 0.003 0.004 2.61 666 390 "m3_Scotese_Behr220_125" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.483 0.011 0.018 0.008 3.239 666 390 "m3_Scotese_Behr220_126" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.992 0.023 0.008 0.015 1.981 666 390 "m3_Scotese_Behr220_127" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.99 0.03 0.019 0.008 2.541 666 390 "m3_Scotese_Behr220_128" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.499 0.017 0.009 0.015 3.799 666 390 "m3_Scotese_Behr220_129" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.236 0.011 0.014 0.011 1.913 666 390 "m3_Scotese_Behr220_130" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.745 0.023 0.005 0.004 3.17 666 390 "m3_Scotese_Behr220_131" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.613 0.02 0.017 0.009 2.856 666 390 "m3_Scotese_Behr220_132" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.122 0.033 0.007 0.002 1.598 666 390 "m3_Scotese_Behr220_133" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.367 0.027 0.012 0.006 3.484 666 390 "m3_Scotese_Behr220_134" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.876 0.014 0.002 0.013 2.227 666 390 "m3_Scotese_Behr220_135" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.047 0.025 0.006 0.014 2.384 666 390 "m3_Scotese_Behr220_136" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.556 0.012 0.015 0.007 3.641 666 390 "m3_Scotese_Behr220_137" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.802 0.019 0.001 0.003 1.755 666 390 "m3_Scotese_Behr220_138" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.31 0.031 0.011 0.01 3.013 666 390 "m3_Scotese_Behr220_139" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.179 0.016 0.008 0.001 3.327 666 390 "m3_Scotese_Behr220_140" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.688 0.028 0.018 0.008 2.07 666 390 "m3_Scotese_Behr220_141" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.424 0.034 0.003 0.012 3.956 666 390 "m3_Scotese_Behr220_142" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.933 0.022 0.013 0.005 2.698 666 390 "m3_Scotese_Behr220_143" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.519 0.012 0.012 0.004 1.991 666 390 "m3_Scotese_Behr220_144" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.028 0.024 0.003 0.011 3.249 666 390 "m3_Scotese_Behr220_145" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.273 0.03 0.017 0.015 2.62 666 390 "m3_Scotese_Behr220_146" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.782 0.018 0.008 0.008 3.877 666 390 "m3_Scotese_Behr220_147" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.896 0.027 0.015 0.013 3.563 666 390 "m3_Scotese_Behr220_148" 10000 220 7500 1 1000 0.02 2 30000 0
10 4.405 0.015 0.005 0.006 2.306 666 390 "m3_Scotese_Behr220_149" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.141 0.021 0.02 0.003 2.934 666 390 "m3_Scotese_Behr220_150" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.65 0.034 0.01 0.01 1.677 666 390 "m3_Scotese_Behr220_151" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.462 0.016 0.004 0.011 1.52 666 390 "m3_Scotese_Behr220_152" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.971 0.029 0.014 0.004 2.777 666 390 "m3_Scotese_Behr220_153" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.707 0.023 0.009 0.007 2.148 666 390 "m3_Scotese_Behr220_154" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.216 0.01 0.018 0.014 3.406 666 390 "m3_Scotese_Behr220_155" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.33 0.032 0.002 0.005 3.72 666 390 "m3_Scotese_Behr220_156" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.839 0.019 0.011 0.012 2.463 666 390 "m3_Scotese_Behr220_157" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.084 0.013 0.006 0.009 3.091 666 390 "m3_Scotese_Behr220_158" 10000 220 7500 1 1000 0.02 2 30000 0
2 4.593 0.026 0.016 0.002 1.834 666 390 "m3_Scotese_Behr220_159" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.189 0.018 0.008 0.012 3.524 666 390 "m3_Scotese_Behr220_160" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.697 0.031 0.018 0.005 2.266 666 390 "m3_Scotese_Behr220_161" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.943 0.025 0.004 0.001 2.895 666 390 "m3_Scotese_Behr220_162" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.452 0.012 0.013 0.008 1.638 666 390 "m3_Scotese_Behr220_163" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.32 0.034 0.006 0.003 1.952 666 390 "m3_Scotese_Behr220_164" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.829 0.021 0.016 0.01 3.209 666 390 "m3_Scotese_Behr220_165" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.566 0.015 0.001 0.013 2.581 666 390 "m3_Scotese_Behr220_166" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.075 0.028 0.011 0.006 3.838 666 390 "m3_Scotese_Behr220_167" 10000 220 7500 1 1000 0.02 2 30000 0
4 2.754 0.01 0.017 0.006 3.995 666 390 "m3_Scotese_Behr220_168" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.263 0.023 0.007 0.013 2.738 666 390 "m3_Scotese_Behr220_169" 10000 220 7500 1 1000 0.02 2 30000 0
10 2 0.029 0.012 0.009 3.366 666 390 "m3_Scotese_Behr220_170" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.509 0.017 0.003 0.002 2.109 666 390 "m3_Scotese_Behr220_171" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.377 0.026 0.019 0.011 1.795 666 390 "m3_Scotese_Behr220_172" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.886 0.014 0.01 0.004 3.052 666 390 "m3_Scotese_Behr220_173" 10000 220 7500 1 1000 0.02 2 30000 0
7 3.132 0.02 0.014 0.007 2.423 666 390 "m3_Scotese_Behr220_174" 10000 220 7500 1 1000 0.02 2 30000 0
3 4.64 0.032 0.005 0.014 3.681 666 390 "m3_Scotese_Behr220_175" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.226 0.024 0.002 0.009 2.973 666 390 "m3_Scotese_Behr220_176" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.735 0.011 0.011 0.002 1.716 666 390 "m3_Scotese_Behr220_177" 10000 220 7500 1 1000 0.02 2 30000 0
9 2.472 0.018 0.007 0.005 3.602 666 390 "m3_Scotese_Behr220_178" 10000 220 7500 1 1000 0.02 2 30000 0
5 3.98 0.03 0.016 0.012 2.345 666 390 "m3_Scotese_Behr220_179" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.094 0.014 0.004 0.007 2.659 666 390 "m3_Scotese_Behr220_180" 10000 220 7500 1 1000 0.02 2 30000 0
10 3.603 0.027 0.014 0.014 3.917 666 390 "m3_Scotese_Behr220_181" 10000 220 7500 1 1000 0.02 2 30000 0
8 2.849 0.033 0.009 0.01 2.03 666 390 "m3_Scotese_Behr220_182" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.358 0.021 0.019 0.003 3.288 666 390 "m3_Scotese_Behr220_183" 10000 220 7500 1 1000 0.02 2 30000 0
3 2.66 0.032 0.015 0.002 3.131 666 390 "m3_Scotese_Behr220_184" 10000 220 7500 1 1000 0.02 2 30000 0
7 4.169 0.019 0.006 0.009 1.873 666 390 "m3_Scotese_Behr220_185" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.415 0.013 0.02 0.013 3.759 666 390 "m3_Scotese_Behr220_186" 10000 220 7500 1 1000 0.02 2 30000 0
5 4.923 0.025 0.01 0.006 2.502 666 390 "m3_Scotese_Behr220_187" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.037 0.022 0.013 0.015 2.188 666 390 "m3_Scotese_Behr220_188" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.546 0.035 0.003 0.008 3.445 666 390 "m3_Scotese_Behr220_189" 10000 220 7500 1 1000 0.02 2 30000 0
6 2.283 0.028 0.017 0.004 1.559 666 390 "m3_Scotese_Behr220_190" 10000 220 7500 1 1000 0.02 2 30000 0
2 3.792 0.016 0.008 0.011 2.816 666 390 "m3_Scotese_Behr220_191" 10000 220 7500 1 1000 0.02 2 30000 0
2 2.589 0.028 0.006 0.005 3.268 666 390 "m3_Scotese_Behr220_192" 10000 220 7500 1 1000 0.02 2 30000 0
6 4.098 0.016 0.015 0.012 2.011 666 390 "m3_Scotese_Behr220_193" 10000 220 7500 1 1000 0.02 2 30000 0
8 3.344 0.022 0.01 0.008 3.897 666 390 "m3_Scotese_Behr220_194" 10000 220 7500 1 1000 0.02 2 30000 0
4 4.853 0.035 0.02 0.001 2.639 666 390 "m3_Scotese_Behr220_195" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.967 0.013 0.003 0.01 2.325 666 390 "m3_Scotese_Behr220_196" 10000 220 7500 1 1000 0.02 2 30000 0
9 4.475 0.025 0.013 0.003 3.583 666 390 "m3_Scotese_Behr220_197" 10000 220 7500 1 1000 0.02 2 30000 0
7 2.212 0.031 0.008 0.006 1.696 666 390 "m3_Scotese_Behr220_198" 10000 220 7500 1 1000 0.02 2 30000 0
3 3.721 0.019 0.018 0.013 2.954 666 390 "m3_Scotese_Behr220_199" 10000 220 7500 1 1000 0.02 2 30000 0
4 3.155 0.033 0.012 0.012 2.797 666 390 "m3_Scotese_Behr220_200" 10000 220 7500 1 1000 0.02 2 30000 0
8 4.664 0.02 0.002 0.005 1.539 666 390 "m3_Scotese_Behr220_201" 10000 220 7500 1 1000 0.02 2 30000 0
10 2.401 0.014 0.016 0.002 3.425 666 390 "m3_Scotese_Behr220_202" 10000 220 7500 1 1000 0.02 2 30000 0
6 3.91 0.027 0.007 0.009 2.168 666 390 "m3_Scotese_Behr220_203" 10000 220 7500 1 1000 0.02 2 30000 0
5 2.024 0.017 0.014 0.004 2.482 666 390 "m3_Scotese_Behr220_204" 10000 220 7500 1 1000 0.02 2 30000 0
9 3.532 0.03 0.004 0.011 3.74 666 390 "m3_Scotese_Behr220_205" 10000 220 7500 1 1000 0.02 2 30000 0
